Year,Model,Total Price
2024,3 Locks,84.17
2024,,84.17
2024,Textile Mats,6.67
2024,,6.67
2024,Textile Mats,12.5
2024,,12.5
2024,Nextbase Front-facing Dash Camera,49.83
2024,,49.83
2024,"L2 Basic VAT RetailMaximum
Reclaimable
VAT
English mainland to Scottish borders",50.0
2024,,50.0
2024,6 Without Air-Con,1533.0
2024,,1533.0
2024,0 Without Air-Con,1533.0
2024,,1533.0
2024,120hp,4000.0
2024,,4000.0
2024,180hp,4000.0
2024,,4000.0
2024,6 Without Air-Con,1386.0
2024,,1386.0
2024,0 Without Air-Con,1386.0
2024,,1386.0
2024,TP01,6.6
2024,,6.6
2024,TP02,42.9
2024,,42.9
2024,single stud fi  tting TP03,24.2
2024,,24.2
2024,round air beam for airline track only TP04,15.4
2024,,15.4
2024,single stud fi  tting TP05,2.2
2024,,2.2
2024,TP06,38.5
2024,,38.5
2024,TP07,101.2
2024,,101.2
2024,Pallet loading protection plate TP08,24.2
2024,,24.2
2024,Upgrade to Zanotti SFZ008 with single phase TP09,268.4
2024,,268.4
2024,White noise reversing alarm TP10,12.1
2024,,12.1
2024,0,46054.0
2024,,41835.0
2024,,39038.33
2024,0,46204.0
2024,,41985.0
2024,,39163.33
2024,0,51704.0
2024,,47485.0
2024,,43746.67
2024,0,51854.0
2024,,47635.0
2024,,43871.67
2024,0,43864.0
2024,,39645.0
2024,,37213.33
2024,0,49464.0
2024,,45245.0
2024,,41880.0
2024,"OPTIONAL PRICES Icon Platform Cab Basic VAT RetailMaximum
Reclaimable
VAT
11 kW On Board Charger",25.0
2024,,25.0
2024,Metallic Paint,121.67
2024,,121.67
2024,"CUSTOMISATION Icon Basic VAT RetailMaximum
Reclaimable",177.5
2024,,177.5
2024,Mats,15.83
2024,,15.83
2024,Nextbase front-facing dash camera,49.17
2024,,49.17
2024,000 149,320.0
2024,,27019.0
2024,,4624.17
2024,000 149,320.0
2024,,28094.0
2024,,4803.33
2024,000 151,320.0
2024,,28844.0
2024,,4928.33
2024,000 150,320.0
2024,,30434.0
2024,,5193.33
2024,000 158,320.0
2024,,31484.0
2024,,5368.33
2024,"83 
Metallic Paint",95.83
2024,3 Locks,84.17
2024,0,36694.0
2024,,34975.0
2024,,31238.33
2024,0,37444.0
2024,,35725.0
2024,,31863.33
2024,0,37794.0
2024,,36075.0
2024,,32155.0
2024,0,38544.0
2024,,36825.0
2024,,32780.0
2024,0,37519.0
2024,,35800.0
2024,,31925.83
2024,0,38619.0
2024,,36900.0
2024,,32842.5
2024,"46

--- Page 47 ---
 Accessories
A wide range of accessories is available",95.83
2024,,95.83
2024,Heat Pump,183.33
2024,,183.33
2024,3 Locks,84.17
2024,,84.17
2024,Rubber Mats,15.83
2024,,15.83
2024,Nextbase Front-facing Dash Camera,49.17
2024,,49.17
